	parent	child	lambda_val	child_size
556	642	203	6.108861303058373	1
557	633	27	7.102492170712629	1
558	644	44	9.986795741224457	1
559	646	339	4.191389239826708	1
560	647	284	3.5963386164711824	1
561	642	483	6.21853251898208	1
562	633	279	7.118001959441512	1
563	644	469	9.986795741224457	1
564	646	352	4.4583124007673565	1
565	647	442	3.6599059669354554	1
566	642	43	6.332547797424264	1
567	633	135	7.4476559843046966	1
568	644	343	10.07595034291974	1
569	646	366	4.801276690706084	1
570	647	399	3.6876157339931126	1
571	642	107	6.336565246646399	1
572	633	546	7.679065631491208	1
573	644	529	10.770004994181916	1
574	646	585	4.9689643474780985	1
575	647	507	3.74181302940721	1
576	642	218	7.177356727531496	1
577	633	549	8.16473562017462	1
578	644	211	12.270525598905392	1
579	646	383	4.9689643474780985	1
580	647	354	3.7943662510736873	1
581	642	40	7.2267910122256955	1
582	633	540	8.176630837859467	1
583	644	447	12.548713106418834	1
584	646	443	5.013922302426167	1
585	647	499	3.92824045638276	1
586	642	42	7.455303700568772	1
587	633	263	8.204975773787146	1
588	644	56	13.315133510477953	1
589	644	205	13.315133510477953	1
590	644	341	13.315133510477953	1
591	644	36	13.315133510477953	1
592	646	346	5.743376965797976	1
593	647	143	3.950373756762938	1
594	642	482	7.767908886972781	1
595	633	271	8.222190351441586	1
596	646	425	5.74540526747425	1
597	647	556	3.9697706056713566	1
598	642	514	7.794735620034221	1
599	633	190	8.222190351441586	1
600	633	191	8.222190351441586	1
601	633	238	8.222190351441586	1
602	633	508	8.222190351441586	1
603	646	337	6.011200967907451	1
604	646	353	6.011200967907451	1
605	646	324	6.011200967907451	1
606	646	548	6.011200967907451	1
607	647	402	3.979057873118258	1
608	642	558	7.821509183581672	1
609	647	85	4.098705744902069	1
610	642	113	7.987221726036915	1
611	647	9	4.2101747924004105	1
612	642	6	8.160550720116943	1
613	647	355	4.291452545591603	1
614	642	572	8.186735598360231	1
615	647	236	4.419675259623826	1
616	642	266	8.412632726911694	1
617	642	596	8.412632726911694	1
618	642	242	8.412632726911694	1
619	642	99	8.412632726911694	1
620	647	176	4.43167204192247	1
621	647	246	4.447496599088646	1
622	647	450	4.607329471410922	1
623	647	498	4.6240202030659106	1
624	647	404	4.6240202030659106	1
625	647	251	4.658259755738837	1
626	647	394	4.719516379589121	1
627	647	391	4.729349904433127	1
628	647	583	4.999148192113778	1
629	647	401	5.138131712128731	1
630	647	370	5.247432454501721	1
631	647	591	5.265408140372012	1
632	647	237	5.389683467033707	1
633	647	400	5.4646493663857205	1
634	647	601	5.502858250574841	1
635	647	561	5.510713259812429	1
636	647	543	5.52873241537248	1
637	647	440	5.649649212846159	1
638	647	602	5.6745340163217834	1
639	647	259	5.71046128035975	1
640	647	501	5.886270494762733	1
641	647	545	6.048751317174552	1
642	647	437	6.175795452122396	1
643	647	539	6.277639453602536	1
644	647	589	6.277639453602536	1
645	647	462	6.277639453602536	1
646	647	403	6.277639453602536	1
